Year,Percentage Increase
1998,2.1
1999,2.91
2000,4.48
2001,5.24
2002,6.72
2003,5.33
2004,7.22
2005,7.33
2006,6.92
2007,5.66
2008,4.14
2009,3.03
2010,3.56
2011,2.14
2012,1.70
2013,1.60
2014,2.17
